"Kontrat","GÖEM","GÝEM","GEEM","TOPLAM"
"GG20191202","1.369","15","711","2.095"
"GG20191203","1.560","155","391","2.106"
"GG20191204","2.854","367","390","3.611"
"GG20191205","2.565","365","109","3.039"
"GG20191206","1.076","405","114","1.595"
"GG20191207","1.486","1.150","80","2.716"
"GG20191208","2.114","625","165","2.904"
"GG20191209","1.155","1.170","235","2.560"
"GG20191210","5.648","424","155","6.227"
"GG20191211","6.217","410","101","6.728"
"GG20191212","4.394","668","268","5.330"
"GG20191213","4.525","758","135","5.418"
"GG20191214","2.470","20","96","2.586"
"GG20191215","2.498","330","393","3.221"
"GG20191216","1.565","1.300","166","3.031"
"GG20191217","3.411","1.057","246","4.714"
"GG20191218","2.830","946","123","3.899"
"GG20191219","3.588","486","146","4.220"
"GG20191220","3.990","117","133","4.240"
"GG20191221","2.931","120","207","3.258"
"GG20191222","17.857","536","439","18.832"
"GG20191223","4.190","450","579","5.219"
"GG20191224","8.080","0","16","8.096"
"GG20191225","5.947","11","190","6.148"
"GG20191226","6.151","0","102","6.253"
"GG20191227","7.265","1.125","56","8.446"
"GG20191228","4.737","315","165","5.217"
"GG20191229","2.570","300","948","3.818"
"GG20191230","3.321","330","387","4.038"
"GG20191231","4.156","168","99","4.423"
"GG20200101","2.580","320","497","3.397"
"GG20200102","4.590","450","231","5.271"
"GG20200103","8.334","966","341","9.641"
"GG20200104","6.255","585","442","7.282"
"GG20200105","2.467","82","500","3.049"
"GG20200106","3.848","1.061","533","5.442"
"GG20200107","3.125","1.187","612","4.924"
"GG20200108","4.003","383","363","4.749"
"GG20200109","3.769","506","211","4.486"
"GG20200110","5.007","294","323","5.624"
"GG20200111","5.628","930","349","6.907"
"GG20200112","4.081","642","230","4.953"
"GG20200113","5.320","297","1.005","6.622"
"GG20200114","6.638","788","263","7.689"
"GG20200115","7.381","561","585","8.527"
"GG20200116","4.431","870","879","6.180"
"GG20200117","4.454","625","556","5.635"
"GG20200118","4.289","410","493","5.192"
"GG20200119","4.314","180","315","4.809"
"GG20200120","4.861","964","301","6.126"
"GG20200121","5.891","342","344","6.577"
"GG20200122","4.602","1.249","261","6.112"
"GG20200123","6.060","159","247","6.466"
"GG20200124","4.426","309","472","5.207"
"GG20200125","3.175","1.160","300","4.635"
"GG20200126","5.892","581","299","6.772"
"GG20200127","4.358","808","428","5.594"
"GG20200128","5.052","1.486","186","6.724"
"GG20200129","4.633","235","286","5.154"
"GG20200130","2.538","505","529","3.572"
"GG20200131","2.719","602","230","3.551"
"GG20200201","7.932","500","240","8.672"
"GG20200202","3.634","125","135","3.894"
"GG20200203","4.499","452","239","5.190"
"GG20200204","3.600","224","200","4.024"
"GG20200205","4.632","36","263","4.931"
"GG20200206","4.093","293","360","4.746"
"GG20200207","4.874","118","549","5.541"
"GG20200208","5.573","442","223","6.238"
"GG20200209","4.146","304","320","4.770"
"GG20200210","6.430","847","279","7.556"
"GG20200211","6.151","492","365","7.008"
"GG20200212","5.745","361","537","6.643"
"GG20200213","3.817","393","857","5.067"
"GG20200214","4.131","212","233","4.576"
"GG20200215","5.339","10","26","5.375"
"GG20200216","2.998","86","137","3.221"
"GG20200217","6.032","210","330","6.572"
"GG20200218","5.290","969","389","6.648"
"GG20200219","7.690","349","374","8.413"
"GG20200220","5.737","279","98","6.114"
"GG20200221","6.519","50","505","7.074"
"GG20200222","4.725","0","173","4.898"
"GG20200223","3.148","586","465","4.199"
"GG20200224","5.653","342","208","6.203"
"GG20200225","6.854","50","30","6.934"
"GG20200226","7.388","10","442","7.840"
